year,event_type,avg_per_replay,median_per_replay
2016,PlayerSetup,2.0,2
2016,PlayerStats,188.3,177
2016,UnitBorn,843.1,786
2016,UnitDied,528.8,444
2016,UnitDone,95.3,82
2016,UnitInit,99.5,86
2016,UnitPositions,37.8,34
2016,UnitTypeChange,484.2,445
2016,Upgrade,22.2,22
2017,PlayerSetup,2.0,2
2017,PlayerStats,194.7,179
2017,UnitBorn,866.7,728
2017,UnitDied,575.7,422
2017,UnitDone,111.4,95
2017,UnitInit,116.0,99
2017,UnitOwnerChange,10.7,4
2017,UnitPositions,38.7,34
2017,UnitTypeChange,502.0,380
2017,Upgrade,30.5,26
2018,PlayerSetup,2.0,2
2018,PlayerStats,189.4,173
2018,UnitBorn,851.5,676
2018,UnitDied,557.7,369
2018,UnitDone,110.3,96
2018,UnitInit,115.4,101
2018,UnitOwnerChange,9.4,4
2018,UnitPositions,38.2,33
2018,UnitTypeChange,499.6,359
2018,Upgrade,29.7,26
2019,PlayerSetup,2.0,2
2019,PlayerStats,195.2,177
2019,UnitBorn,903.8,684
2019,UnitDied,605.4,372
2019,UnitDone,121.4,104
2019,UnitInit,127.2,109
2019,UnitOwnerChange,10.9,4
2019,UnitPositions,39.9,34
2019,UnitTypeChange,497.0,348
2019,Upgrade,33.1,29
2020,PlayerSetup,2.0,2
2020,PlayerStats,207.9,191
2020,UnitBorn,1071.8,696
2020,UnitDied,792.5,414
2020,UnitDone,140.9,120
2020,UnitInit,146.7,125
2020,UnitOwnerChange,11.0,4
2020,UnitPositions,42.9,38
2020,UnitTypeChange,505.3,303
2020,Upgrade,43.9,40
2021,PlayerSetup,2.0,2
2021,PlayerStats,210.9,191
2021,UnitBorn,1077.7,660
2021,UnitDied,808.1,386
2021,UnitDone,150.4,127
2021,UnitInit,156.7,133
2021,UnitOwnerChange,12.5,4
2021,UnitPositions,44.1,38
2021,UnitTypeChange,472.1,249
2021,Upgrade,40.0,37
2022,PlayerSetup,2.0,2
2022,PlayerStats,211.9,189
2022,UnitBorn,1056.2,641
2022,UnitDied,798.0,373
2022,UnitDone,158.9,131
2022,UnitInit,165.6,137
2022,UnitOwnerChange,12.3,4
2022,UnitPositions,45.2,38
2022,UnitTypeChange,474.8,193
2022,Upgrade,35.2,31
2023,PlayerSetup,2.0,2
2023,PlayerStats,217.2,195
2023,UnitBorn,1166.0,705
2023,UnitDied,891.6,418
2023,UnitDone,152.9,127
2023,UnitInit,159.6,132
2023,UnitOwnerChange,13.9,4
2023,UnitPositions,46.2,39
2023,UnitTypeChange,540.6,274
2023,Upgrade,37.1,33
2024,PlayerSetup,2.0,2
2024,PlayerStats,215.9,193
2024,UnitBorn,1194.9,682
2024,UnitDied,916.6,387
2024,UnitDone,149.1,123
2024,UnitInit,155.5,129
2024,UnitOwnerChange,12.3,6
2024,UnitPositions,45.1,38
2024,UnitTypeChange,479.8,214
2024,Upgrade,41.2,37
