lower_nick,region,n_toon_ids
showtime,Europe,17
reynor,Europe,16
clem,Europe,16
heromarine,Europe,16
serral,Europe,15
scarlett,US,14
elazer,Europe,14
lambo,Europe,13
special,US,12
kelazhur,US,12
serral,Unknown,12
spirit,Europe,12
serral,US,11
dns,Europe,11
solar,Europe,11
maru,Europe,11
neeb,Unknown,10
uthermal,Europe,10
dark,Europe,10
skillous,Europe,10
harstem,Europe,10
kelazhur,Europe,10
cure,Europe,10
scarlett,Europe,10
mana,Unknown,10
ptitdrogo,Europe,10
nerchio,Unknown,10
shadown,Europe,10
true,Unknown,10
creator,Europe,9
showtime,US,9
future,US,9
heromarine,US,9
snute,Unknown,9
gerald,Europe,9
neeb,Europe,9
showtime,Unknown,9
astrea,US,9
mana,Europe,9
hero,Europe,9
neeb,US,9
cham,US,9
elazer,Unknown,9
special,Unknown,9
lambo,US,9
harstem,Unknown,9
bly,Europe,8
namshar,Unknown,8
clem,US,8
astrea,Europe,8
hellraiser,Europe,8
bly,Unknown,8
uthermal,Unknown,8
elazer,US,8
byun,Europe,8
goblin,Europe,8
bunny,Europe,8
kelazhur,Unknown,8
dns,Unknown,8
probe,US,7
maru,US,7
trigger,US,7
krystianer,Europe,7
harstem,US,7
ptitdrogo,Unknown,7
special,Europe,7
sortof,Europe,7
vindicta,US,7
zanster,Unknown,7
namshar,US,7
gumiho,Europe,7
dolan,US,7
sortof,Unknown,7
reynor,US,7
time,US,7
cyan,US,6
classic,Europe,6
mana,US,6
cham,Unknown,6
tyty,Unknown,6
has,Europe,6
bunny,US,6
soul,Unknown,6
stephano,Unknown,6
disk,US,6
cure,US,6
llllllllllll,Europe,6
solar,US,6
pilipili,US,6
ziggy,Europe,6
nice,US,6
ragnarok,Europe,6
heromarine,Unknown,6
scarlett,Unknown,6
has,US,6
epic,US,6
has,Korea,6
dark,US,6
gungfubanda,Europe,6
gogojoey,Korea,5
drg,US,5
shadown,US,5
nice,Unknown,5
kas,Europe,5
teebul,US,5
silky,US,5
forjumy,Europe,5
masa,Unknown,5
erik,US,5
trap,Europe,5
cham,Europe,5
byun,Korea,5
special,Korea,5
mcanning,US,5
hateme,Europe,5
jonsnow,Unknown,5
nice,Europe,5
dark,Unknown,5
time,Unknown,5
byun,US,5
strange,Europe,5
optimus,Unknown,5
rogue,US,5
oliveira,Europe,5
milkicow,Europe,5
foxer,US,5
pattymac,US,5
eonblu,Unknown,5
masa,US,5
meomaika,US,5
probe,Unknown,5
aqueron,Europe,5
zest,Europe,5
rex,Korea,5
rogue,Europe,5
semper,US,5
liquidtlo,Unknown,5
rhizer,US,5
jonsnow,US,5
gumiho,Unknown,5
pilipili,Unknown,5
nice,Korea,5
ziggy,Unknown,5
time,China,5
marinelord,Europe,5
nina,US,4
ptitdrogo,US,4
holyhit,Europe,4
nightmare,US,4
time,Europe,4
soo,Unknown,4
ryung,Europe,4
puck,Unknown,4
ukko,US,4
kingcobra,Europe,4
maxpax,Europe,4
tyty,Europe,4
soul,Europe,4
nightphoenix,Europe,4
stephano,Europe,4
maru,China,4
has,Unknown,4
rogue,Korea,4
jieshi,US,4
rail,Europe,4
stats,US,4
spirit,US,4
maru,Korea,4
masa,Europe,4
namshar,Europe,4
gumiho,US,4
gerald,Unknown,4
soo,Europe,4
nerchio,US,4
lambo,Unknown,4
hero,US,4
cyan,Korea,4
dns,US,4
zest,US,4
nerchio,Europe,4
innovation,Unknown,4
rob,US,4
silky,Unknown,4
art,Europe,4
trap,Korea,4
stats,Unknown,4
time,Korea,4
risky,Europe,4
denver,Europe,4
classic,US,4
gerald,US,4
drg,Europe,4
stats,Europe,4
nightmare,Europe,4
bioice,US,4
zest,Unknown,4
rogue,Unknown,4
jacko,Unknown,4
zanster,Europe,4
souleer,Europe,4
probe,Europe,4
battleb,Europe,4
creator,US,4
solar,Unknown,4
uthermal,US,4
hero,Unknown,4
jimrising,US,3
scarlett,China,3
purelegacy,US,3
butalways,Korea,3
eggz,US,3
semper,Unknown,3
serral,China,3
showtime,China,3
creature,US,3
asuna,US,3
cuddlebear,US,3
awers,Europe,3
sos,US,3
arctur,Unknown,3
zain,US,3
pappijoe,Europe,3
tlo,Europe,3
spazymazy,Unknown,3
dear,Europe,3
innovation,China,3
iasonu,China,3
denver,US,3
nightend,Unknown,3
stats,Korea,3
trap,Unknown,3
snute,Europe,3
skillous,US,3
zoun,Europe,3
classic,Unknown,3
risky,US,3
reynor,Unknown,3
liquidtlo,US,3
raza,US,3
ragnarok,US,3
ryung,Unknown,3
parting,Europe,3
scarlett,Korea,3
tlo,Unknown,3
elazer,China,3
drg,Korea,3
pappijoe,Unknown,3
guru,Unknown,3
neeb,China,3
disrespect,US,3
zipperthefly,Europe,3
light,Unknown,3
puck,China,3
has,China,3
ryu,US,3
ranger,US,3
armani,Europe,3
patience,Unknown,3
pengwin,Unknown,3
expect,Korea,3
dream,US,3
dark,Korea,3
youngyakov,Europe,3
iasonu,Unknown,3
noregret,Unknown,3
pandabearme,Unknown,3
sos,Unknown,3
mamba,Unknown,3
maru,Unknown,3
seither,Unknown,3
trigger,Europe,3
hurricane,Europe,3
shadown,Unknown,3
tyty,US,3
helten,Unknown,3
patience,Europe,3
expect,US,3
parting,Korea,3
soul,US,3
lemon,Korea,3
vanya,Europe,3
bly,US,3
trap,US,3
lillekanin,Unknown,3
cyan,Europe,3
art,Unknown,3
astrea,Korea,3
mixu,US,3
ryung,US,3
reaper,US,3
maplez,US,3
impact,Europe,3
teebul,Europe,3
zain,Europe,3
sos,Europe,3
jheffe,Unknown,3
igxigua,China,3
dark,China,3
innovation,Europe,3
gungfubanda,US,2
rex,Europe,2
liquidmana,Europe,2
mlty,Unknown,2
&lt;lgeral&gt;rail,Europe,2
pandabearme,US,2
dolan,Unknown,2
crow,Unknown,2
zest,Korea,2
hellraiser,Unknown,2
dayshi,Unknown,2
zanster,US,2
hjax,US,2
cyan,China,2
bratok,Europe,2
burning,Europe,2
hero,Korea,2
ptitdrogo,China,2
terran,US,2
taldan,US,2
firefly,Korea,2
&lt;αx&gt;future,US,2
spacemarine,Europe,2
ragnarok,Korea,2
cure,Korea,2
&lt;αx&gt;astrea,Europe,2
marinelord,US,2
seither,US,2
rattata,Europe,2
igxy,Korea,2
shin,US,2
iaguz,Unknown,2
&lt;ixgeu&gt;namshar,Europe,2
inzane,Europe,2
mixu,Europe,2
innovation,US,2
dana,Unknown,2
solar,Korea,2
pono,Unknown,2
reign,Unknown,2
hateme,Unknown,2
hydra,Europe,2
innovation,Korea,2
huk,Europe,2
sos,Korea,2
sevnin,Unknown,2
azure,US,2
minato,Unknown,2
spacemarine,Unknown,2
poizon,Unknown,2
rail,Unknown,2
nerchio,China,2
sortof,US,2
blue,Europe,2
gostephano,US,2
bistork,Korea,2
awers,Unknown,2
goblin,US,2
theory,Unknown,2
jieshi,Korea,2
&lt;ex0n&gt;special,US,2
spazymazy,Europe,2
ziggy,US,2
dear,Unknown,2
binski,US,2
true,US,2
salemandr,Europe,2
dimaga,Europe,2
ryu,Europe,2
armani,US,2
vindicta,Europe,2
kelazhur,China,2
holyhit,Unknown,2
special,China,2
losira,Unknown,2
hellraiser,US,2
ghosthell,Europe,2
soo,US,2
zerggirl,Unknown,2
impact,Unknown,2
allaryce,Unknown,2
zhugeliang,Unknown,2
sunset,Europe,2
souleer,Unknown,2
reynor,Korea,2
bluecheese,Unknown,2
cuddlebear,Unknown,2
toodming,US,2
bistork,Unknown,2
mackintac,Unknown,2
cloudy,Unknown,2
nxz,US,2
hino,Unknown,2
&lt;jt&gt;has,US,2
miharu,US,2
raze,Unknown,2
classic,Korea,2
denver,Unknown,2
parting,US,2
gostephano,Europe,2
alive,Unknown,2
sioras,China,2
raza,Europe,2
toodming,China,2
enderr,US,2
fightingfrog,Europe,2
true,Europe,2
liquidclem,US,2
coffee,Europe,2
enderr,China,2
nitix,Europe,2
jeros,Europe,2
clem,Unknown,2
creed,Europe,2
polt,Europe,2
masa,China,2
krr,Unknown,2
snute,US,2
oliveira,US,2
stephano,US,2
mma,Europe,2
lambo,China,2
piglet,US,2
iasonu,Europe,2
hymy,Unknown,2
reynor,China,2
pappijoe,US,2
bunny,Unknown,2
uthermal,China,2
hurricane,Unknown,2
boo,US,2
kaup,Unknown,2
demuslim,Unknown,2
byun,Unknown,2
rex,US,2
hino,Europe,2
bails,Unknown,2
&lt;ixg&gt;future,US,2
hydraorc,Europe,2
dream,Korea,2
erik,Europe,2
soo,Korea,2
neeb,Korea,2
shin,Europe,2
alive,Europe,2
theory,US,2
bly,China,2
drumhead,US,2
risky,Unknown,2
mysteryman,Korea,2
aristori,Europe,2
liquidelazer,Europe,2
