game_version,data_build,replay_count,date_min,date_max,year_min,year_max
3.1.0.39576,39576,49,2016-01-07 02:21:46.002000,2016-01-10 04:40:32.716565,2016,2016
3.1.1.39948,39948,105,2016-01-14 03:10:43.826200,2016-02-01 23:57:36.685468,2016,2016
3.1.2.40384,40384,241,2016-02-12 14:16:27.752300,2016-02-18 03:29:34.671608,2016,2016
3.1.3.41128,41128,58,2016-03-02 10:34:47.237138,2016-03-03 19:50:37.222233,2016,2016
3.1.4.41219,41219,42,2016-03-04 11:04:59.418381,2016-03-05 15:17:08.471155,2016,2016
3.4.0.44401,44401,60,2016-07-27 03:34:17.746407,2016-07-30 03:56:37.021220,2016,2016
3.10.1.49957,49957,409,2017-02-27 08:47:32.176792,2017-03-05 15:43:08.434944,2017,2017
3.12.0.51702,51702,405,2017-04-28 23:29:25.366718,2017-05-01 05:21:06.770443,2017,2017
3.14.0.53644,53644,332,2017-06-17 10:22:02.546801,2017-06-19 19:15:39.250756,2017,2017
3.16.0.55505,55505,188,2017-07-22 09:20:47.868779,2017-07-29 22:40:12.235645,2017,2017
3.17.1.57218,57218,236,2017-09-08 14:35:38.674521,2017-09-10 22:58:16.269462,2017,2017
3.19.1.58600,58600,294,2017-10-28 00:08:28.625226,2017-11-12 21:15:58.049021,2017,2017
4.0.2.59877,59877,135,2017-11-23 09:09:55.138114,2017-11-26 16:49:12.546901,2017,2017
4.1.4.61545,61545,482,2018-01-26 11:16:14.872183,2018-02-06 21:08:06.188832,2018,2018
4.2.0.62347,62347,444,2018-02-26 04:54:57.318914,2018-03-04 13:31:50.562587,2018,2018
4.2.1.62848,62848,165,2018-03-12 19:39:31.727041,2018-03-17 20:12:48.797611,2018,2018
4.3.2.65384,65384,406,2018-06-02 01:19:23.714467,2018-06-04 07:58:38.354932,2018,2018
4.4.0.65895,65895,753,2018-06-28 09:27:37.500787,2018-07-14 16:26:09.804977,2018,2018
4.6.0.67926,67926,442,2018-09-07 09:16:14.362112,2018-09-10 03:21:20.397182,2018,2018
4.6.2.69232,69232,72,2018-10-26 23:49:10.683907,2018-11-04 08:33:52.635193,2018,2018
4.7.1.70326,70326,416,2018-11-22 11:34:21.408089,2018-12-10 06:13:08.972598,2018,2018
4.8.2.71663,71663,289,2019-01-31 23:16:51.692246,2019-02-18 03:58:43.746153,2019,2019
4.8.3.72282,72282,933,2019-02-25 09:06:52.861170,2019-04-08 06:01:29.373384,2019,2019
4.8.6.73620,73620,540,2019-05-17 08:15:44.146031,2019-05-19 16:14:41.176219,2019,2019
4.9.2.74741,74741,330,2019-06-27 09:22:49.652355,2019-06-30 21:53:15.199000,2019,2019
4.9.3.75025,75025,765,2019-07-12 07:58:53.002160,2019-08-03 17:15:44.836472,2019,2019
4.10.2.76052,76052,601,2019-09-06 21:18:35.725664,2019-09-09 06:01:39.278033,2019,2019
4.10.4.76811,76811,428,2019-10-23 19:04:36.297196,2019-11-24 22:19:47.886443,2019,2019
4.11.4.78285,78285,795,2020-02-24 09:11:18.735104,2020-06-07 14:53:12.654000,2020,2020
4.12.0.79998,79998,237,2020-06-11 01:34:09.104406,2020-06-13 20:04:58.520800,2020,2020
4.12.0.80188,80188,783,2020-06-23 23:19:18.088813,2020-07-19 16:30:29.245000,2020,2020
5.0.2.81433,81433,799,2020-08-26 00:13:37.755216,2020-09-20 17:23:19.173000,2020,2020
5.0.4.82457,82457,107,2020-11-27 11:31:15.745473,2020-11-29 21:04:39.072134,2020,2020
5.0.5.82893,82893,278,2020-12-11 23:21:02.270182,2021-01-25 05:08:21.166043,2020,2021
5.0.6.83830,83830,444,2021-02-20 13:15:05.919807,2021-03-14 20:55:25.600000,2021,2021
5.0.7.84643,84643,2511,2021-05-18 23:18:08.607896,2021-10-17 20:56:35.852000,2021,2021
5.0.8.86383,86383,1071,2021-10-21 03:19:31.204601,2022-02-27 13:05:35.318128,2021,2022
5.0.9.87702,87702,1094,2022-05-17 23:11:52.612207,2022-07-03 19:13:08.056962,2022,2022
5.0.10.88500,88500,988,2022-07-23 08:29:15.930358,2022-10-16 20:28:14.292501,2022,2022
5.0.10.89165,89165,865,2022-11-18 21:24:32.640910,2022-12-18 21:55:53.214104,2022,2022
5.0.11.89720,89720,260,2023-02-08 10:13:08.380119,2023-02-12 19:11:10.884950,2023,2023
5.0.11.90136,90136,820,2023-05-02 04:21:42.322699,2023-08-06 17:22:16.960566,2023,2023
5.0.12.91115,91115,859,2023-12-01 11:32:00.547048,2024-02-11 19:07:42.129658,2023,2024
5.0.13.92174,92174,439,2024-05-31 20:17:27.057759,2024-06-23 22:21:56.759680,2024,2024
5.0.13.92440,92440,249,2024-08-14 07:21:04.510537,2024-09-08 15:55:45.463114,2024,2024
5.0.14.93272,93272,171,2024-11-29 01:19:58.111709,2024-12-01 23:48:45.251161,2024,2024
