source_column,json_key
header,elapsedGameLoops
header,version
initData,gameDescription
initData.gameDescription,gameOptions
initData.gameDescription,gameSpeed
initData.gameDescription,isBlizzardMap
initData.gameDescription,mapAuthorName
initData.gameDescription,mapFileSyncChecksum
initData.gameDescription,mapSizeX
initData.gameDescription,mapSizeY
initData.gameDescription,maxPlayers
details,gameSpeed
details,isBlizzardMap
details,timeUTC
metadata,baseBuild
metadata,dataBuild
metadata,gameVersion
metadata,mapName
