event_type,key_list,n_events,pct
PlayerSetup,['evtTypeName' 'id' 'loop' 'playerId' 'slotId' 'type' 'userId'],8,100.0
PlayerStats,['evtTypeName' 'id' 'loop' 'playerId' 'stats'],688,100.0
UnitBorn,"['controlPlayerId' 'creatorAbilityName' 'creatorUnitTagIndex'
 'creatorUnitTagRecycle' 'evtTypeName' 'id' 'loop' 'unitTagIndex'
 'unitTagRecycle' 'unitTypeName' 'upkeepPlayerId' 'x' 'y']",3378,93.81
UnitBorn,"['controlPlayerId' 'evtTypeName' 'id' 'loop' 'unitTagIndex'
 'unitTagRecycle' 'unitTypeName' 'upkeepPlayerId' 'x' 'y']",223,6.19
UnitDied,"['evtTypeName' 'id' 'killerPlayerId' 'killerUnitTagIndex'
 'killerUnitTagRecycle' 'loop' 'unitTagIndex' 'unitTagRecycle' 'x' 'y']",2621,100.0
UnitDone,['evtTypeName' 'id' 'loop' 'unitTagIndex' 'unitTagRecycle'],476,100.0
UnitInit,"['controlPlayerId' 'evtTypeName' 'id' 'loop' 'unitTagIndex'
 'unitTagRecycle' 'unitTypeName' 'upkeepPlayerId' 'x' 'y']",501,100.0
UnitOwnerChange,"['controlPlayerId' 'evtTypeName' 'id' 'loop' 'unitTagIndex'
 'unitTagRecycle' 'upkeepPlayerId']",8,100.0
UnitPositions,['evtTypeName' 'firstUnitIndex' 'id' 'items' 'loop'],160,100.0
UnitTypeChange,['evtTypeName' 'id' 'loop' 'unitTagIndex' 'unitTagRecycle' 'unitTypeName'],1809,100.0
Upgrade,['count' 'evtTypeName' 'id' 'loop' 'playerId' 'upgradeTypeName'],129,100.0
