event_type,json_key,is_nested
CameraSave,evtTypeName,False
CameraSave,id,False
CameraSave,loop,False
CameraSave,target,True
CameraSave,userid,True
CameraSave,which,False
CameraUpdate,distance,False
CameraUpdate,distance,False
CameraUpdate,distance,False
CameraUpdate,evtTypeName,False
CameraUpdate,follow,False
CameraUpdate,id,False
CameraUpdate,loop,False
CameraUpdate,pitch,False
CameraUpdate,pitch,False
CameraUpdate,pitch,False
CameraUpdate,reason,False
CameraUpdate,reason,False
CameraUpdate,target,True
CameraUpdate,target,False
CameraUpdate,userid,True
CameraUpdate,yaw,False
CameraUpdate,yaw,False
CameraUpdate,yaw,False
Cmd,abil,False
Cmd,abil,True
Cmd,cmdFlags,True
Cmd,data,True
Cmd,evtTypeName,False
Cmd,id,False
Cmd,loop,False
Cmd,otherUnit,False
Cmd,sequence,False
Cmd,unitGroup,False
Cmd,userid,True
CmdUpdateTargetPoint,evtTypeName,False
CmdUpdateTargetPoint,id,False
CmdUpdateTargetPoint,loop,False
CmdUpdateTargetPoint,target,True
CmdUpdateTargetPoint,userid,True
CmdUpdateTargetUnit,evtTypeName,False
CmdUpdateTargetUnit,id,False
CmdUpdateTargetUnit,loop,False
CmdUpdateTargetUnit,target,True
CmdUpdateTargetUnit,userid,True
CommandManagerState,evtTypeName,False
CommandManagerState,id,False
CommandManagerState,loop,False
CommandManagerState,sequence,False
CommandManagerState,sequence,False
CommandManagerState,state,False
CommandManagerState,userid,True
ControlGroupUpdate,controlGroupIndex,False
ControlGroupUpdate,controlGroupUpdate,False
ControlGroupUpdate,evtTypeName,False
ControlGroupUpdate,id,False
ControlGroupUpdate,loop,False
ControlGroupUpdate,mask,True
ControlGroupUpdate,userid,True
GameUserLeave,evtTypeName,False
GameUserLeave,id,False
GameUserLeave,leaveReason,False
GameUserLeave,loop,False
GameUserLeave,userid,True
SelectionDelta,controlGroupId,False
SelectionDelta,delta,True
SelectionDelta,evtTypeName,False
SelectionDelta,id,False
SelectionDelta,loop,False
SelectionDelta,userid,True
TriggerDialogControl,controlId,False
TriggerDialogControl,eventData,True
TriggerDialogControl,eventType,False
TriggerDialogControl,evtTypeName,False
TriggerDialogControl,id,False
TriggerDialogControl,loop,False
TriggerDialogControl,userid,True
TriggerMouseMoved,evtTypeName,False
TriggerMouseMoved,flags,False
TriggerMouseMoved,id,False
TriggerMouseMoved,loop,False
TriggerMouseMoved,posUI,True
TriggerMouseMoved,posWorld,True
TriggerMouseMoved,userid,True
TriggerPing,evtTypeName,False
TriggerPing,id,False
TriggerPing,loop,False
TriggerPing,option,False
TriggerPing,pingedMinimap,False
TriggerPing,point,True
TriggerPing,unit,False
TriggerPing,unitControlPlayerId,False
TriggerPing,unitIsUnderConstruction,False
TriggerPing,unitLink,False
TriggerPing,unitPosition,True
TriggerPing,unitUpkeepPlayerId,False
TriggerPing,userid,True
UnitClick,evtTypeName,False
UnitClick,id,False
UnitClick,loop,False
UnitClick,unitTag,False
UnitClick,userid,True
UserOptions,baseBuildNum,False
UserOptions,buildNum,False
UserOptions,cameraFollow,False
UserOptions,debugPauseEnabled,False
UserOptions,developmentCheatsEnabled,False
UserOptions,evtTypeName,False
UserOptions,gameFullyDownloaded,False
UserOptions,hotkeyProfile,False
UserOptions,id,False
UserOptions,isMapToMapTransition,False
UserOptions,loop,False
UserOptions,multiplayerCheatsEnabled,False
UserOptions,platformMac,False
UserOptions,syncChecksummingEnabled,False
UserOptions,testCheatsEnabled,False
UserOptions,useGalaxyAsserts,False
UserOptions,userid,True
UserOptions,versionFlags,False
Cmd,abil.abilCmdData,False
Cmd,abil.abilCmdIndex,False
Cmd,abil.abilLink,False
Cmd,data.Data,False
Cmd,data.None,False
Cmd,data.TargetPoint,False
Cmd,data.TargetUnit,False
Cmd,data.snapshotPoint,False
SelectionDelta,delta.addSubgroups,False
SelectionDelta,delta.addUnitTags,False
SelectionDelta,delta.removeMask,False
SelectionDelta,delta.subgroupIndex,False
